"GEO","TIME_PERIOD","MODE","FUEL_TYPE","OBS_VALUE","UNIT_MEASURE"
"IND","FY2014","3W Passenger","Diesel",232101,"Registrations"
"IND","FY2014","3W Passenger","Petrol/CNG",59129,"Registrations"
"IND","FY2014","3W Goods","EV",4,"Registrations"
"IND","FY2014","3W Goods","Diesel",68843,"Registrations"
"IND","FY2014","3W Goods","CNG",2321,"Registrations"
"IND","FY2014","Cars","EV",451,"Registrations"
"IND","FY2014","Cars","Diesel",1317928,"Registrations"
"IND","FY2014","Cars","Petrol",946996,"Registrations"
"IND","FY2014","Bus","EV",2,"Registrations"
"IND","FY2014","Bus","Diesel",101094,"Registrations"
"IND","FY2014","LGV (up to 7/5 tonnes)","EV",37,"Registrations"
"IND","FY2014","LGV (up to 7/5 tonnes)","Diesel",386878,"Registrations"
"IND","FY2014","MGV (7.5-12 tonnes)","EV",1,"Registrations"
"IND","FY2014","MGV (7.5-12 tonnes)","Diesel",25540,"Registrations"
"IND","FY2014","HGV (>12 tonnes)","EV",10,"Registrations"
"IND","FY2014","HGV (>12 tonnes)","Diesel",156228,"Registrations"
"IND","FY2014","Others","EV",205,"Registrations"
"IND","FY2014","2W","Other",16197,"Registrations"
"IND","FY2014","3W Passenger","Other",61997,"Registrations"
"IND","FY2014","3W Goods","Other",682,"Registrations"
"IND","FY2014","Cars","Other",176890,"Registrations"
"IND","FY2014","Bus","Other",15257,"Registrations"
"IND","FY2014","LGV (up to 7/5 tonnes)","Other",12293,"Registrations"
"IND","FY2014","MGV (7.5-12 tonnes)","Other",328,"Registrations"
"IND","FY2014","HGV (>12 tonnes)","Other",1858,"Registrations"
"IND","FY2014","Others","Other",716680,"Registrations"
"IND","FY2015","2W","EV",1569,"Registrations"
"IND","FY2015","2W","Petrol",14934713,"Registrations"
"IND","FY2015","3W Passenger","EV",10,"Registrations"
"IND","FY2015","3W Passenger","Diesel",229734,"Registrations"
"IND","FY2015","3W Passenger","Petrol/CNG",90492,"Registrations"
"IND","FY2015","3W Goods","EV",4,"Registrations"
"IND","FY2015","3W Goods","Diesel",74913,"Registrations"
"IND","FY2015","3W Goods","CNG",2671,"Registrations"
"IND","FY2015","Cars","EV",634,"Registrations"
"IND","FY2015","Cars","Diesel",1255374,"Registrations"
"IND","FY2015","Cars","Petrol",1107683,"Registrations"
"IND","FY2015","Bus","EV",3,"Registrations"
"IND","FY2015","Bus","Diesel",87589,"Registrations"
"IND","FY2015","LGV (up to 7/5 tonnes)","EV",14,"Registrations"
"IND","FY2015","LGV (up to 7/5 tonnes)","Diesel",334249,"Registrations"
"IND","FY2015","MGV (7.5-12 tonnes)","EV",0,"Registrations"
"IND","FY2015","MGV (7.5-12 tonnes)","Diesel",21893,"Registrations"
"IND","FY2015","HGV (>12 tonnes)","EV",5,"Registrations"
"IND","FY2015","HGV (>12 tonnes)","Diesel",171624,"Registrations"
"IND","FY2015","Others","EV",163,"Registrations"
"IND","FY2015","2W","Other",25169,"Registrations"
"IND","FY2015","3W Passenger","Other",81569,"Registrations"
"IND","FY2015","3W Goods","Other",718,"Registrations"
"IND","FY2015","Cars","Other",204308,"Registrations"
"IND","FY2015","Bus","Other",18502,"Registrations"
"IND","FY2015","LGV (up to 7/5 tonnes)","Other",14827,"Registrations"
"IND","FY2015","MGV (7.5-12 tonnes)","Other",203,"Registrations"
"IND","FY2015","HGV (>12 tonnes)","Other",1416,"Registrations"
"IND","FY2015","Others","Other",747605,"Registrations"
"IND","FY2016","2W","EV",1471,"Registrations"
"IND","FY2016","2W","Petrol",15548753,"Registrations"
"IND","FY2016","3W Passenger","EV",590,"Registrations"
"IND","FY2016","3W Passenger","Diesel",222243,"Registrations"
"IND","FY2016","3W Passenger","Petrol/CNG",92490,"Registrations"
"IND","FY2016","3W Goods","EV",9,"Registrations"
"IND","FY2016","3W Goods","Diesel",75258,"Registrations"
"IND","FY2016","3W Goods","CNG",2972,"Registrations"
"IND","FY2016","Cars","EV",782,"Registrations"
"IND","FY2016","Cars","Diesel",1208750,"Registrations"
